word,def
갈매기근린공원,"농구대, 공중걷기, 평행봉, 역기올리기, 상체근육풀기, 허리돌리기, 물구나무서기, 터닝암, 레그프레스푸쉬, 워킹트레이너머신, 역기내리기, 푸쉬업철봉"
개포근린공원,"모험놀이대,물결타기,허리돌리기,어깨유연성운동,달리기,하늘걷기,등허리지압기,푸쉬업봉,역기내리기,평행봉,역기올리기,옴금펴기,상체근육풀기,윗몸일으키기,2단철봉"
개포동근린공원,"레그프레스, 등허리 젖히기, 허리돌리기, 하체흔들기, 휠돌리기, 자전거, 거꾸로 뒤집기 줄당기기, 윗몸일으키기, 평행봉, 체어웨이트"
개포서근린공원,"스텝싸이클,트렁크웨이트,크로스컨트리,롤링웨이스트"
길섶근린공원,스카이워크
늘벗근린공원,"허리돌리기, 윗몸일으키기, 철봉, 등허리근육풀기, 오금펴기, 파도타기, 등허리지압기, 발지압기, 달리기운동, 거꾸로매달리기, 역기올리기, 스트레칭운동기구, 유산소성 운동기구, 평행봉 "
늘푸른근린공원,"철봉 3단,거꾸리,윗몸일으키기,달리기,역기올리기,등 허리지압기, 상체근육풀기, 옆 파도타기, 하늘걷기, 온몸 허리돌리기, 허리돌리기, 평행봉, 구름다리, 통돌리기, 배드민턴"
달터근린공원,"마사지롤,바스트풀,스카이워킹,크리스워킹"
대진근린공원,"웨이스트,롤링,레그프레스,워밍암,코르스워킹,풀웨이트,크로스컨트리,허리돌리기,윗몸일으키기,철봉,사이클링,철봉매달리기, 체어웨이트,스트레칭로라"
대청근린공원,"레그프레스,체스트프레스,하체흔들기,트위스트좌식,워밍암,달리기운동,윗몸일으키기,허리돌리기,거꾸로매달리기,공중걷기"
대치에스케이뷰 소공원2,없음.
대치근린공원,"평행봉, 역기, 철봉, 트위스트, 허리운동, 뱃살운동, 팔내리기운동, 다리운동, 양다리운동, 팔올리기운동, 원그리기운동, 양회전운동, 거꾸로매달리기, 타이어운동기구"
도곡근린공원,"크로스컨트리, 체어웨이트, 스텝싸이클, 체어풀, 트윈트위스트, 트윈바디싣업, 평행봉, 철봉3단, 철봉1단, 팔굽혀펴기, 윗몸일으키기, 허리돌리기, 워밍암, 롤링웨이스트, 다리운동, 파워싸이클, 터닝암, 마사지롤, 바디싣업, 스탠드업, 거꾸리머신, 몸통운동, 스카이워킹, 자가발전자전거, 역기, 다리스트레칭, 전신달리기, 써핑롤링머신, 큰활차머신"
도곡단비소공원,"풀웨이트,크로스컨트리,트윈트위스트"
도곡햇살 소공원,"온몸근육풀기,온몸허리돌리기,공중걷기"
